House,OWLs,House Points Won,House Points lost,Total Points for the Year,Year
Hufflepuff,3,139,28,111,7
Slytherin,4,160,49,111,5
Slytherin,4,139,28,111,7
Slytherin,4,148,37,111,7
Hufflepuff,3,135,25,110,5
Gryffindor,4,145,35,110,5
Slytherin,4,159,49,110,5
Slytherin,4,149,39,110,5
Hufflepuff,3,127,18,109,5
Gryffindor,3,142,34,108,5
Slytherin,3,142,34,108,5
Gryffindor,4,123,15,108,5
Gryffindor,4,148,40,108,6
Slytherin,4,151,43,108,5
Ravenclaw,4,158,50,108,6
Ravenclaw,4,153,45,108,6
Gryffindor,3,142,35,107,6
Ravenclaw,4,129,23,106,5
Gryffindor,3,135,30,105,7
Slytherin,3,153,48,105,5
Hufflepuff,3,133,28,105,7
Hufflepuff,3,134,29,105,6
Gryffindor,4,134,29,105,5
Gryffindor,3,153,50,103,6
Hufflepuff,3,132,29,103,7
Hufflepuff,3,145,42,103,6
Slytherin,4,146,43,103,5
Gryffindor,3,127,25,102,6
Slytherin,4,142,40,102,5
Gryffindor,3,139,39,100,5
Gryffindor,3,128,28,100,6
Slytherin,3,132,32,100,5
Hufflepuff,3,143,43,100,6
Gryffindor,4,143,43,100,5
Slytherin,4,129,29,100,5
Gryffindor,5,129,29,100,5
Slytherin,4,139,40,99,5
Slytherin,4,144,45,99,5
Slytherin,4,129,30,99,7
Gryffindor,3,119,21,98,5
Gryffindor,3,128,30,98,7
Hufflepuff,3,137,39,98,7
Gryffindor,3,132,35,97,7
Hufflepuff,3,132,35,97,5
Gryffindor,4,142,45,97,5
Slytherin,4,138,42,96,5
Gryffindor,3,130,35,95,7
Ravenclaw,3,123,28,95,7
Gryffindor,4,124,29,95,6
Gryffindor,3,119,25,94,6
Gryffindor,3,124,30,94,7
Hufflepuff,3,134,40,94,5
Slytherin,4,137,43,94,5
Gryffindor,3,118,25,93,6
Gryffindor,3,132,39,93,6
Hufflepuff,3,123,30,93,5
Slytherin,4,148,55,93,5
Gryffindor,3,129,38,91,6
Gryffindor,3,120,29,91,6
Hufflepuff,3,138,47,91,7
Hufflepuff,3,136,45,91,6
Hufflepuff,3,101,10,91,6
Gryffindor,3,114,24,90,6
Gryffindor,3,115,25,90,6
Hufflepuff,3,119,29,90,7
Hufflepuff,3,133,43,90,6
Hufflepuff,4,129,39,90,7
Gryffindor,3,138,49,89,5
Ravenclaw,3,117,28,89,5
Hufflepuff,3,134,45,89,5
Hufflepuff,3,119,30,89,6
Gryffindor,4,99,10,89,5
Gryffindor,4,94,5,89,5
Slytherin,4,134,45,89,5
Gryffindor,3,127,40,87,6
Hufflepuff,3,114,27,87,7
Hufflepuff,3,135,48,87,7
Gryffindor,3,120,34,86,5
Gryffindor,3,118,32,86,5
Gryffindor,3,138,52,86,7
Gryffindor,3,122,38,84,5
Hufflepuff,3,134,50,84,6
Slytherin,4,139,55,84,5
Gryffindor,3,121,38,83,5
Gryffindor,3,128,45,83,7
Gryffindor,3,122,40,82,6
Hufflepuff,3,102,20,82,6
Hufflepuff,3,100,20,80,6
Slytherin,4,130,50,80,5
Gryffindor,3,127,48,79,6
Gryffindor,3,127,49,78,6
Slytherin,3,119,41,78,5
Gryffindor,3,114,38,76,5
Gryffindor,3,114,39,75,6
Gryffindor,3,125,50,75,7
Ravenclaw,3,112,37,75,7
Gryffindor,3,132,58,74,5
Gryffindor,3,124,50,74,7
Hufflepuff,3,123,49,74,7
Hufflepuff,3,104,30,74,6
Gryffindor,3,127,54,73,5
Gryffindor,3,93,20,73,6
Gryffindor,4,107,35,72,5
Slytherin,3,109,38,71,7
Gryffindor,3,115,45,70,5
Gryffindor,3,118,49,69,6
Hufflepuff,3,89,20,69,7
Gryffindor,3,114,48,66,5
Slytherin,3,89,23,66,5
Gryffindor,3,119,54,65,6
Slytherin,3,99,34,65,5
Ravenclaw,3,90,25,65,6
Slytherin,3,92,28,64,5
Gryffindor,3,122,59,63,5
Ravenclaw,3,110,47,63,7
Gryffindor,3,111,49,62,5
Gryffindor,3,110,49,61,5
Gryffindor,3,115,54,61,5
Hufflepuff,3,90,30,60,6
Hufflepuff,3,79,20,59,7
Gryffindor,4,104,45,59,5
Gryffindor,3,116,58,58,6
Slytherin,3,106,48,58,5
Slytherin,3,104,47,57,5
Slytherin,3,103,46,57,7
Hufflepuff,3,97,40,57,6
Slytherin,3,94,38,56,5
Gryffindor,3,103,48,55,5
Slytherin,3,93,38,55,7
Hufflepuff,3,94,39,55,7
Slytherin,3,87,34,53,5
Gryffindor,3,109,57,52,5
Slytherin,3,83,34,49,7
Hufflepuff,3,99,50,49,6
Gryffindor,3,95,48,47,5
Slytherin,3,85,39,46,5
Gryffindor,3,139,94,45,5
Slytherin,3,90,47,43,7
Slytherin,3,94,52,42,5
Slytherin,3,85,43,42,5
Gryffindor,3,99,58,41,5
Slytherin,3,90,49,41,5
Slytherin,3,78,37,41,7
Slytherin,3,73,34,39,5
Hufflepuff,3,97,60,37,7
Gryffindor,3,80,45,35,6
Gryffindor,4,89,55,34,5
Gryffindor,3,73,40,33,6
Gryffindor,3,87,55,32,6
Slytherin,3,89,57,32,7
Gryffindor,4,82,50,32,5
Gryffindor,3,97,68,29,5
Slytherin,3,83,55,28,5
Slytherin,3,82,54,28,5
Slytherin,3,74,47,27,7
Slytherin,3,87,63,24,5
Hufflepuff,2,70,48,22,6
Slytherin,3,72,50,22,5
Slytherin,3,64,42,22,7
Hufflepuff,2,69,49,20,5
Slytherin,3,64,47,17,5
Slytherin,3,63,50,13,5
Hufflepuff,2,38,28,10,5
Slytherin,3,53,45,8,7
Gryffindor,3,74,69,5,5
Slytherin,3,49,48,1,7
Slytherin,3,59,59,0,5
Hufflepuff,2,58,59,-1,6
Slytherin,3,63,69,-6,5
Slytherin,3,66,78,-12,5
Slytherin,3,68,84,-16,5
Hufflepuff,2,28,45,-17,5
Hufflepuff,2,17,43,-26,5
Slytherin,3,28,58,-30,7
Slytherin,2,48,84,-36,5
Gryffindor,2,59,98,-39,7
Hufflepuff,2,48,92,-44,5
Hufflepuff,2,27,78,-51,5
Gryffindor,2,57,109,-52,7
Slytherin,2,37,90,-53,5
Gryffindor,2,38,100,-62,7
Slytherin,2,38,103,-65,5
Gryffindor,2,38,119,-81,6
Gryffindor,2,27,114,-87,6
Slytherin,2,47,135,-88,5
Gryffindor,2,23,113,-90,5
Slytherin,2,59,149,-90,5
Slytherin,2,38,132,-94,5
Gryffindor,2,21,119,-98,5
Slytherin,2,28,154,-126,5
Gryffindor,2,29,156,-127,5
Hufflepuff,1,5,156,-151,6
Gryffindor,2,12,173,-161,5
Gryffindor,1,2,179,-177,5
Gryffindor,1,3,197,-194,5
Slytherin,1,1,199,-198,5
